show_id,category,win,year
13,Outstanding Limited Series,False,2017
13,Outstanding Supporting Actor in a Limited Series or Movie,False,2017
13,"Outstanding Casting for a Limited Series, Movie, or Special",False,2017
13,"Outstanding Directing for a Limited Series, Movie, or Dramatic Special",False,2017
14,OUTSTANDING WRITING FOR A MINISERIES OR A MOVIE,True,2000
14,Outstanding Miniseries,True,2000
14,"OUTSTANDING DIRECTING FOR A MINISERIES, MOVIE OR A SPECIAL",True,2000
14,"Outstanding Casting For A Miniseries, Movie Or A Special",False,2000
15,Outstanding Directing For A Documentary/Nonfiction Program,False,2018
15,Outstanding Sound Mixing For A Nonfiction Program (Single or Multi-Camera),False,2018
15,Outstanding Writing For A Nonfiction Program,False,2018
15,Outstanding Sound Editing For A Nonfiction Program (Single Or Multi-Camera),False,2018
16,"Outstanding Writing For A Limited Series, Movie Or A Dramatic Special",True,2015
16,Outstanding Lead Actor In A Limited Series Or A Movie,True,2015
16,Outstanding Lead Actress In A Limited Series Or A Movie,True,2015
16,Outstanding Limited Series,True,2015
16,Outstanding Supporting Actor In A Limited Series Or A Movie,True,2015
16,Outstanding Single-Camera Picture Editing For A Limited Series Or A Movie,True,2015
16,"Outstanding Casting For A Limited Series, Movie Or A Special",True,2015
16,"Outstanding Directing For A Limited Series, Movie Or A Dramatic Special",True,2015
16,"Outstanding Costumes For A Contemporary Series, Limited Series or Movie",False,2015
16,Outstanding Supporting Actress In A Limited Series Or A Movie,False,2015
16,Outstanding Hairstyling For A Limited Series Or A Movie,False,2015
16,Outstanding Main Title Design,False,2015
16,Outstanding Makeup For A Limited Series Or A Movie (Non-Prosthetic),False,2015
17,OUTSTANDING MAIN TITLE THEME MUSIC,False,2003
18,Outstanding Writing for a Drama Series,False,2005
18,Outstanding Writing for a Drama Series,False,2008
19,OUTSTANDING ART DIRECTION FOR A SERIES,True,1996
19,OUTSTANDING MAIN TITLE THEME MUSIC,True,1996
19,OUTSTANDING SUPPORTING ACTRESS FOR A DRAMA SERIES,False,1996
19,OUTSTANDING SUPPORTING ACTOR FOR A DRAMA SERIES,False,1996
19,OUTSTANDING CINEMATOGRAPHY FOR A SERIES,False,1996
19,Outstanding Directing For A Drama Series,False,1996
19,Outstanding Writing for a Drama Series,False,1996
19,Outstanding Guest Actor In A Drama Series,True,1997
20,Outstanding Original Main Title Theme Music,False,2013
20,Outstanding Guest Actress In A Drama Series,False,2013
20,Outstanding Guest Actress In A Drama Series,False,2014
20,Outstanding Guest Actress In A Drama Series,True,2015
20,Outstanding Writing For A Drama Series,False,2015
20,Outstanding Guest Actress In A Drama Series,True,2016
20,Outstanding Lead Actress In A Drama Series,False,2016
20,Outstanding Lead Actor In A Drama Series,False,2016
20,Outstanding Writing For A Drama Series,False,2016
20,Outstanding Drama Series,False,2016
20,Outstanding Writing for a Drama Series,False,2017
20,Outstanding Guest Actress in a Drama Series,False,2017
20,Outstanding Lead Actress in a Drama Series,False,2017
20,Outstanding Lead Actor in a Drama Series,False,2017
20,Outstanding Lead Actor In A Drama Series,True,2018
20,Outstanding Writing For A Drama Series,True,2018
20,Outstanding Lead Actress In A Drama Series,False,2018
20,Outstanding Drama Series,False,2018
21,Outstanding Lead Actor In A Drama Series,True,2002
21,Outstanding Writing for a Drama Series,False,2002
21,Outstanding Directing For A Drama Series,False,2002
21,Outstanding Lead Actor In A Drama Series,False,2003
21,Outstanding Lead Actress In A Drama Series,False,2005
21,Outstanding Supporting Actress In A Drama Series,False,2005
22,Outstanding Cinematography For A Single-camera Series,False,2006
22,Outstanding Costumes For A Series,False,2006
22,Outstanding Cinematography For A Half-Hour Series,False,2009
23,Outstanding Narrator,True,2015
23,Outstanding Writing For Nonfiction Programming,False,2015
23,Outstanding Documentary Or Nonfiction Series,False,2015
24,Outstanding Lead Actor In A Miniseries Or A Movie,False,2007
24,Outstanding Supporting Actress In A Miniseries Or A Movie,False,2007
24,"Outstanding Music Composition For A Miniseries, Movie Or A Special (Original Dramatic Score)",False,2007
24,Outstanding Made For Television Movie,False,2007
24,"Outstanding Costumes For A Miniseries, Movie Or A Special",False,2007
25,Outstanding Lead Actress in a Comedy Series,False,2017
25,Outstanding Lead Actress In A Comedy Series,False,2018
26,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN DIRECTING IN A comedy series,False,1992
26,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN COSTUME DESIGN FOR A series,False,1992
26,Outstanding Comedy Series,False,1992
26,OUTSTANDING individual achievement in SOUND MIXING FOR A COMEDY SERIES OR A SPECIAL,False,1992
26,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN main title theme music,False,1992
26,Outstanding Individual Achievement In Graphic Design And Title Sequences,False,1992
26,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN EDITING FOR A series - single-camera production,False,1992
26,Outstanding Lead Actress In A Comedy Series,False,1992
26,Outstanding Lead Actress In A Comedy Series,False,1993
26,OUTSTANDING individual achievement in SOUND MIXING FOR A COMEDY SERIES OR A SPECIAL,False,1993
26,Outstanding Guest Actor In A Comedy Series,False,1993
26,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN EDITING FOR A series - single-camera production,False,1993
27,Outstanding Casting For A Comedy Series,True,2000
27,Outstanding Writing for a Comedy Series,False,2000
27,Outstanding Writing for a Comedy Series,False,2001
28,Outstanding Lead Actor In A Comedy Series,True,2018
28,Outstanding Sound Mixing For A Comedy Or Drama Series (Half-Hour) And Animation,True,2018
28,Outstanding Supporting Actor In A Comedy Series,True,2018
28,Outstanding Directing For A Comedy Series,False,2018
28,Outstanding Casting For A Comedy Series,False,2018
28,Outstanding Production Design For A Narrative Program (Half-Hour Or Less),False,2018
28,Outstanding Single-Camera Picture Editing For A Comedy Series,False,2018
28,Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation,False,2018
28,Outstanding Cinematography For A Single-Camera Series (Half-Hour),False,2018
28,Outstanding Writing For A Comedy Series,False,2018
28,Outstanding Comedy Series,False,2018
28,Outstanding Sound Mixing For A Comedy Or Drama Series (Half-Hour) And Animation,True,2019
28,Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation,True,2019
28,Outstanding Lead Actor In A Comedy Series,True,2019
28,Outstanding Writing For A Comedy Series,False,2019
28,Outstanding Stunt Coordination For A Comedy Series Or Variety Program,False,2019
28,Outstanding Supporting Actor In A Comedy Series,False,2019
28,Outstanding Comedy Series,False,2019
28,Outstanding Single-Camera Picture Editing For A Comedy Series,False,2019
28,Outstanding Casting For A Comedy Series,False,2019
28,Outstanding Production Design For A Narrative Program (Half-Hour),False,2019
